software,Link,Description,Year,Last Modified,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/39673737,Spring Security : configuration error,2016,2016,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/34073223/django-app-with-postgres-backend-throwing-error-in-new-set-up-azure-vm/34083019#34083019,Django app with postgres backend throwing error in new set up (Azure VM),2015,2015,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/34023813/symfony-2-7-cacheclear-command-checks-every-database-connection/34024275#34024275,Symfony 2.7 cache:clear command checks every database connection,2015,2023,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/33852044/why-can-i-not-read-from-the-aws-s3-in-spark-application-anymore/35653666#35653666,Why can I not read from the AWS S3 in Spark application anymore?,2015,2016,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/19043970/cannot-initialize-cluster-please-check-your-configuration-for-mapreduce-framewo,Cannot initialize Cluster. Please check your configuration for mapreduce.framework.name and the correspond server addresses-submiting job2remoteClustr,2013,2019,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/16498711/oozie-war-creation-unsupported-hadoop-version-supported-versions-0-20-1-0-20/16499400#16499400,"Oozie war creation - Unsupported Hadoop version supported versions: 0.20.1, 0.20.2, 0.20.104, 0.20.200, 0.23.x and 2.x",2013,2013,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/36372009/jmeter-hbase-scan-sampler-fails-with-classnotfoundexception-exception/36377717#36377717,JMeter Hbase scan sampler fails with ClassNotFoundException exception,2016,2016,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/49990933,Configuration on demand is not supported by the current version of the Android Gradle plugin,2018,2019,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/805480/cannot-run-apache-2-4-with-libapache2-mod-php5,Cannot run Apache 2.4 with libapache2-mod-php5,2016,2016,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/986001/installing-letsencrypt-ssl-on-amazon-linux-with-nginx-php-fpm-gives-the-conne,Installing LetsEncrypt SSL on Amazon Linux with Nginx + PHP-FPM gives “The connection was reset” error,2019,2019,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/346472/missing-dependency-issue-when-trying-to-install-apc-extension-for-php,Missing Dependency issue when trying to install apc extension for php,2012,2012,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/519438/php-fpm-stops-responding-and-dies,PHP-FPM stops responding and dies,2013,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/383946/apache-crashes-when-php-mysql-dll-is-loaded,apache crashes when php_mysql.dll is loaded,2012,2012,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/477862/error-message-with-phpmyadmin-when-starting-up-apache,Error message with phpmyadmin when starting up apache,2013,2013,,,,,,,,,,,,,,
Others,https://serverfault.com/questions/175990/lighttpd-virtual-host-error,Lighttpd Virtual Host Error,2010,2011,,,,,,,,,,,,,,
Others,https://serverfault.com/questions/549381/puppet-installs-too-many-dependencies,Puppet installs too many dependencies,2013,2013,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/54094991/error-in-sql-connector-configuration-when-connecting-using-ballerina-mysql-clien,Failed to initialize pool， Initial client character set can be forced via the 'characterEncoding' property,2019,2019,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/61701266/500-error-on-moving-project-to-another-server,500 error on moving project to another server,2020,2020,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/53642626/nginx-mywebsite-intweb-net-redirected-you-too-many-times-err-too-many-redirect,"nginx: mywebsite.intweb.net redirected you too many times. ERR_TOO_MANY_REDIRECTS,",2018,2018,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/29445198/gitlab-will-not-create-postgres-instance-on-alternative-port/29445984#29445984,Gitlab will not create Postgres instance on alternative port,2015,2015,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/29348549/unable-to-add-a-new-service-with-cloudera-manager-within-cloudera-quickstart-vm/29521910#29521910,Unable to add a new service with Cloudera Manager within Cloudera Quickstart VM 5.3.0,2015,2015,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/54094991,Error in sql connector configuration when connecting using Ballerina MYSQL Client,2019,2019,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/370499/need-apache-configuration-fixed,Need Apache configuration fixed,2012,2012,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/446843/error-2003-hy000-cant-connect-to-mysql-server-on-111,error 2003 hy000 cant connect to mysql server on 111,2012,2019,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/178929/php-path-info-issues,Undefined index: PATH_INFO,2010,2011,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/790120/nginx-as-a-proxy-for-apache-server-running-wordpress,The internal links of the website all give 301 redirects to localhost,2016,2016,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/554102/cant-not-access-apache-server-status-page-when-i-add-configuration-for-load-bal,Can't not access apache server-status page when i add configuration for load balancing,2013,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/791090/separate-php-error-logs-for-each-apache-vhosts,separate php error logs for each Apache vhosts,2016,2016,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/230253/mixing-subversion-svnparentpath-and-per-repository-configurations,Mixing Subversion “SVNParentPath” and per-repository configurations,2011,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/891438/401-unauthorized-error-when-using-apache-2-4,401 Unauthorized error when using Apache 2.4,2018,2019,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/688318/htaccess-redirect-loop-only-on-one-of-two-servers,htaccess redirect loop only on one of two servers,2015,2015,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/577616/using-https-between-apache-loadbalancer-and-backends,The proxy server could not handle the request GET /test/test.jsp.,2014,2024,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/35938531/how-to-integrate-pgbouncer-1-4-with-postgresql-9-0-database/35939766#35939766,How to integrate pgbouncer-1.4 with PostgreSQL -9.0 database,2016,2016,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/41535708/prevent-ambari-agent-overwriting-repo-files/41578484#41578484,Prevent Ambari agent overwriting repo files,2017,2017,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/41756775/unable-to-configure-orc-properties-in-spark/41766865#41766865,Unable to configure ORC properties in Spark,2017,2017,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/65880196/spark-structured-streaming-this-query-does-not-support-recovering-from-checkpo/65880651#65880651,Spark Structured Streaming - This query does not support recovering from checkpoint location,2021,2021,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/550609/dll-in-php-the-specified-module-could-not-be-found,dll in php “the specified module could not be found”,2013,2016,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/936682/php-fpm-fails-after-x-requests,php-fpm fails after X requests,2018,2018,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/826830/website-stuck-in-redirect-loop-after-using-behind-cloudflare,website stuck in redirect loop after using behind cloudflare,2017,2017,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/770666/apache-returns-empty-response-and-must-restart,Apache returns empty response and must restart [closed],2016,2019,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/57377/installing-imagick-php-extension-on-ubuntu,Installing imagick PHP extension on Ubuntu,2009,2009,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/420008/php-5-4-on-centos-5-gd-not-working,PHP 5.4 on CentOS 5 - GD Not Working,2012,2012,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/979612/yet-another-pdo-could-not-find-driver-issue,Yet another PDO could not find driver issue,2019,2019,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/495477/pdo-installation-not-working,PDO installation not working? [closed],2013,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/834921/apache-2-mpm-itk-and-mpm-prefork-modules-together,Apache 2 mpm-itk and mpm-prefork modules together,2017,2017,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/365621/multiple-error-log-locations-for-apache,Cannot specify Multiple error_log locations for Apache,2012,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/385414/apache-httpd-send-error-logs-to-syslog-and-local-disk-without-touching-etc-sy,Cannot make Apache errors logs written to the local disk and sent to syslog,2012,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/315556/multiple-separate-apache-daemons-on-same-machine,Cannot have a separate apache daemon to run the reverse proxy,2011,2011,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/733910/how-do-i-load-mod-version-only-if-it-isnt-built-in-to-apache,Cannot load mod_version only if it isn't built in to apache,2015,2015,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/807850/prestashop-with-php-fpm-gives-uncomplete-header-error,astCGI: incomplete headers (0 bytes) received from server,2016,2016,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/515417/error-start-apache-php-value,Error Start Apache “php value”,2013,2019,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/785660/apache-up-in-flames-ah00025-how-to-fix,Apache configuration error (AH00025): couldn't check user,2016,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/12528238,Configuration error: System.Web.Helpers,2012,2018,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/22063533,intellij - spring is not being recognized (Unmapped Spring configuration),2014,2021,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/24666457/nginx-webdav-could-not-open-collection,nginx webdav could not open collection,2014,2015,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/36011581/nginx-unknown-directive-proxy-pass,"nginx: [emerg] unknown directive ""proxy_pass""",2016,2016,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/1504163,Configuration problem: Unable to locate Spring NamespaceHandler for XML schema namespace,2009,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/40622751,Hibernate validator doesn't work,2016,2017,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/63707414/unable-to-connect-app-to-postgres-server-using-yaml-files/63708510#63708510,Unable to connect app to postgres server using yaml files,2020,2020,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/74769168/,conflicting with the dependencies,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/74655996,add spring-boot-starter-oauth2-resource-server dependency in your project,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/73927708,related to the MySQL version with others,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/73349568/,wrong version,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/72984330,add one dependency,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/72959168/,the parameter MODE worked for OP， have to change configuration,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/72615960/,software version is outdated,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/72323823,missing one of the MySQL development package,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/72172454,proper versions of jdk and spring. It is a common pitfall for people to jump into the latest versions,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72147711,different directories of components should be same,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/71159585,add and remove some dependencies,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/70595395,related to the version of the jdbc driver.,2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/73984830,change php version 7 to 8,2022,2024,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/73421405,wrong PHP version,2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/72684090/,update PHP version,2022,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72522017/,update Nginx version,2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/72317738,update PHP version,2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/71241718,missing librariy,2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/70569313,version mismatch,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/73036677,downgrading Nginx to 1.18.0,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72840115,"using Nginx as a reverse proxy, after making sure that the port is open on your container, just let Nginx handle the SSL and don't configure it again",2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72937572,version did not match,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/74201770,"version did not match, java 18",2022,2022,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/73360680,missing component,2022,2023,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/70695101/,update spark,2022,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1114122/,"http/1.0 per default, and curl uses http/1.1",2022,2022,,,,,,,,,,,,,,
Others,https://serverfault.com/questions/549381/puppet-installs-too-many-dependencies,Puppet installs too many dependencies,2013,2013,,,,,,,,,,,,,,
Apache httpd,https://stackoverflow.com/questions/76672484,duplicated my PHP configuration in the httpd.conf file and in httpd-php.conf,2023,2023,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/77605408,do not have component as dependency,2023,2023,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/77155400,hadoop dose not support java 17,2023,2023,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/76771284,hadoop dose not support java 17,2023,2023,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/76100454,miss slf4j-simple jar ,2023,2023,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/77482386,module is typically used in Unix-like systems,2023,2023,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/77485523,in MAC multiple relays that encrypt data and generate temporary IP addresses which mess things up,2023,2024,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/77370858,miss components,2023,2024,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/77076235,miss components,2023,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/77022598,at least Java 17.,2023,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/76947614,miss components,2023,2023,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/76735281,docker maps a wrong port to mysql,2023,2023,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/75561162,MYSQL_USER=root for your database environment and can create conflicts for the root user,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/75412175/,proxy_pass  http://172.17.0.1:49321/foobar;    with the path of other component,2023,2023,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/77488883/,Cyrillic letters cannot be converted to that encoding.,2023,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/76286206,miss components,2023,2023,,,,,,,,,,,,,,
MYSQL,https://stackoverflow.com/questions/76820020/,set autocommit = 1 to align the MySQL value with PDO's value,2023,2023,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/243631/mysql-server-running-only-on-unix-socket,mysql server running only on unix socket,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/270258/mysql-not-accepting-connections-from-wp,mysql not accepting connections from wp(WordPress),2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/453251/how-to-speed-up-a-mysql-import,how to speed up a mysql import,2012,2012,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/6354/error-2006-hy000-at-line-149351-mysql-server-has-gone-away,error 2006 hy000 at line 149351 mysql server has gone away,2009,2018,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/564378/mysql-shut-down-it-self-periodically,mysql shut down it self periodically,2013,2013,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/240032/mysql-database-restore-error,MySQL Database Restore error,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/320253/mysql-multi-level-replication-breaks-constantly,MySQL multi level replication breaks constantly,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/308707/mysql-hangs-up-the-server-how-to-avoid-this,mysql hangs up the server how to avoid this,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/317256/mysql-5-0-5-1-upgrade-table-upgrades-taking-a-very-long-time,mysql 5 0 5 1 upgrade table upgrades taking a very long time,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/102720/datadump-fails-with-exit-code-1,datadump fails with exit code 1,2010,2010,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/538652/mysql-5-1-69-at-centos-6-4-doesnt-know-enable-named-pipe,mysql 5 1 69 at centos 6 4 doesnt know enable named pipe,2013,2013,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/445822/mysql-died-during-the-night-on-a-12-04-1-ubuntu,mysql died during the night on a 12 04 1 ubuntu,2012,2012,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/534676/mysql-failed-to-start-error-1053-windows-server-2008-r2,mysql failed to start error 1053 windows server 2008 r2,2013,2024,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/362336/mysql-odbc-issue-data-source-name-not-found-and-no-default-driver-specified,mysql odbc issue data source name not found and no default driver specified,2012,2012,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/403454/ubuntu-12-04-mysql-5-5-24-crashes-everyday,ubuntu 12 04 mysql 5 5 24 crashes everyday,2012,2012,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/415884/files-in-mysql-data-folder,files in mysql data folder,2012,2012,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/316938/mysql-max-allowed-packet-greater-than-1-gb-is-it-possible,mysql max allowed packet greater than 1 gb is it possible,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/311179/mysql-binary-logs-more-than-15-gb,mysql binary logs more than 15 gb,2011,2011,,,,,,,,,,,,,,
MySQL,https://dba.stackexchange.com/questions/1927/why-does-mysql-say-im-out-of-memory,why does mysql say im out of memory（out of memory,2011,2014,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/531632/mysql-is-running-slow-on-db-import,mysql is running slow on db import,2013,2013,,,,,,,,,,,,,,
MySQL,http://dba.stackexchange.com/questions/35284/mysql-cant-create-test-file-1067-error,mysql cant create test file 1067 error,2013,2022,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/329298/could-not-start-the-service-mysql-error0-how-to-get-mysql-5-5-server-running,could not start the service mysql error0 how to get mysql 5 5 server running,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/538652/mysql-5-1-69-at-centos-6-4-doesnt-know-enable-named-pipe,mysql 5 1 69 at centos 6 4 doesnt know enable named pipe,2013,2013,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/488489/mysql-database-config-optimization,mysql database config optimization,2013,2013,,,,,,,,,,,,,,
MySQL,http://dba.stackexchange.com/questions/6134/fixing-mysql-errors-recorded-in-error-logs,fixing mysql errors recorded in error logs,2011,2011,,,,,,,,,,,,,,
MySQL,http://dba.stackexchange.com/questions/56412/mysql-query-extremely-slow-after-server-restart,mysql query extremely slow after server restart,2014,2014,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/431597/mysql-binlogs-seems-incomplete,mysql binlogs seems incomplete,2012,2012,,,,,,,,,,,,,,
MySQL,http://dba.stackexchange.com/questions/27892/innodb-master-master-replication-goes-inconsistant-after-power-failure-tests,innodb master master replication goes inconsistant after power failure tests,2012,2012,,,,,,,,,,,,,,
MySQL,http://stackoverflow.com/questions/17387299/what-are-huge-files-0-000001-and-0-000002-files-and-so-on-in-mysql-data-folder,what are huge files 0 000001 and 0 000002 files and so on in mysql data folder,2013,2014,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/518747/mysql-is-running-very-slow-on-centos-6x-not-5x,mysql is running very slow on centos 6x not 5x,2013,2013,,,,,,,,,,,,,,
MySQL,http://stackoverflow.com/questions/2252243/lots-of-mysql-sleep-processes,lots of mysql sleep processes,2010,2010,,,,,,,,,,,,,,
MySQL,http://stackoverflow.com/questions/20523297/24-cores-and-mysql-is-using-1-on-insert,24 cores and MYSQL is using 1 on INSERT,2013,2013,,,,,,,,,,,,,,
MySQL,http://dba.stackexchange.com/questions/48659/finding-swap-causes-of-mysql,finding swap causes of mysql,2013,2013,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/288937/help-about-log-mysql,Help about log mysql,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/87705/very-slow-mysql,very slow mysql,2009,2009,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/300958/mysql-is-hogging-my-server-resources,mysql is hogging my server resources,2011,2012,,,,,,,,,,,,,,
MySQL,http://stackoverflow.com/questions/18694188/mysql-connection-taking-too-much-time,mysql connection taking too much time,2013,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/206024/apache-virtualhost-and-modproxy-not-working-as-hoped,Apache VirtualHost and ModProxy not working as hoped,2010,2010,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/813498/php-fpm-7-server-reached-pm-max-children/1043945#1043945,Php-Fpm 7 server reached pm.max_children,2016,2020,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/1043523/mysql-crashes-randomly-out-of-memory-kill-process-24978-mysqld-score-99-or-sa,MySql crashes randomly Out of memory: Kill process 24978 (mysqld) score 99 or sacrifice child,2020,2020,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/263167/disabling-php-deprecation-warnings-and-notices,Disabling PHP Deprecation Warnings and Notices,2011,2020,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/226703/php-fpm-said-failed-to-post-process-the-configuration,php-fpm said “failed to post process the configuration”,2011,2023,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/32924/how-can-i-make-the-apache-php-setup-on-my-vps-show-php-errors-and-warnings,How can I make the Apache/PHP setup on my VPS show PHP errors and warnings?,2009,2009,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/866616/server-reached-pm-max-children-setting-280-consider-raising-it,PHP-FPM process getting crashed in every few days due to reached pm.max_children,2017,2018,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/823794/larger-uploads-not-posting-on-nginx-php-fpm,Larger uploads not posting on nginx + php-fpm,2017,2017,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/920075/raised-php7-0-fpm-capacity-still-overloads,"Raised PHP7.0-fpm capacity, still overloads",2018,2018,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/280916/unable-to-remove-limit-on-memory-usage-for-php-script,Unable to remove limit on memory usage for PHP script,2011,2012,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/258545/passing-arbitrary-http-request-headers-to-nginx-and-then-to-php,Passing arbitrary http request headers to nginx and then to php,2011,2011,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/414480/communication-failure-between-nginx-and-php-fpm,Communication failure between nginx and PHP-FPM,2012,2012,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/237410/need-help-executing-php-on-apple-xserve,Need help executing php on Apple Xserve,2011,2011,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/936267/client-denied-by-server-configuration-on-apache-2-4,Client denied by server configuration on Apache 2.4,2018,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/408001/php-nginx-errorwin,PHP/Nginx error(Win),2012,2012,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/671704/strange-issue-with-nginx-compiled-from-source-and-nginx-from-official-fedora-rep,Strange issue with Nginx compiled from source and Nginx from official Fedora repository,2015,2015,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/559165/percona-got-an-error-writing-communication-packets,Percona: Got an error writing communication packets,2013,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/684617/debian-apache-deflate-mod-not-working,Debian Apache Deflate mod not working,2015,2015,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/630613/php-ajax-cannot-upload-files-larger-than-100kb,PHP + AJAX cannot upload files larger than 100KB,2014,2014,,,,,,,,,,,,,,
MySQL,https://serverfault.com/questions/421968/mysql-too-many-connections-during-normal-conditions-percona-innodb,"MySQL too many connections during normal conditions (Percona, InnoDB)",2012,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/473788/the-mod-negotiation-seems-to-be-enabled-but-php-files-without-extensions-retur,"The mod_negotiation seems to be enabled, but .php files without extensions return 404",2013,2016,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/402630/http-error-413-request-entity-too-large,HTTP Error: 413 Request Entity Too Large,2012,2022,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/313961/cant-upload-5mb-file-using-ajax-file-uploader,Can't upload 5mb file using AJAX file uploader,2011,2011,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/748404/apache-webserver-https-port-redirects-to-http-with-port-443,Apache webserver HTTPS port redirects to HTTP with port 443,2016,2016,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/477180/how-to-make-zend-2-and-nginx-work,How to make Zend 2 and Nginx work?,2013,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/801015/error-404-with-all-pages-but-index-in-wordpress-over-apache,Error 404 with all pages but index in WordPress over Apache,2016,2017,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/630571/why-adding-expire-header-to-static-files-in-nginx-does-not-work,why adding Expire-Header to static files in nginX does not work,2014,2014,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1030964/haproxy-edge-redirecting-to-proxy-port-instead-of-proxying-for-certain-uri-pat,HaProxy edge redirecting to proxy port (instead of proxying) for certain URI patterns,2020,2020,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/70243/mod-rewrite-cakephp-routing-functionality-forbidden-after-snow-leopard-upgrade,Mod_rewrite (CakePHP routing functionality) forbidden after Snow Leopard upgrade,2009,2011,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/1044724/apache2-sends-corrupt-responses-when-using-a-cifs-share,apache2 sends corrupt responses when using a cifs-share,2020,2022,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/318594/namevirtualhost-12-345-67-89443-has-no-virtualhosts-after-enabling-and-disablin,NameVirtualHost 12.345.67.89:443 has no VirtualHosts after enabling and disabling suexec module,2011,2011,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/490793/setting-up-mod-proxy-in-apache,setting up mod proxy in apache,2013,2013,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/324219/apache-htaccess-rewriterule-to-remove-trailing-slash-infinite-loop,apache htaccess rewriterule to remove trailing slash infinite loop,2011,2012,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/520054/configure-new-server-for-htaccess,configure new server for htaccess,2013,2013,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/100519/how-can-i-prevent-users-from-seeing-my-php-source-code,how can i prevent users from seeing my php source code,2010,2010,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/163412/seperate-server-logs,seperate server logs,2010,2010,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/213424/how-to-stop-mod-deflate-from-logging-to-my-php-error-log,how to stop mod deflate from logging to my php error log,2010,2010,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/500941/ssl-error-107-apache2-ssl-config,ssl error 107 apache2 ssl config,2013,2013,,,,,,,,,,,,,,
